Español,Palabra,ID Audio,Inicio (sg),Fin (sg),Lengua,Transcriptorx,Herramienta,Tanda,Repositorio,Código,Cita Audio,Cita Bibliográfica,Consultante,Original_audiopath,Recorte_path
sombra,ɬaχpek,2012_05_05_FR_AG_063,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,Gutiérrez_2012,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166484",Félix Ramírez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2012/FR13marzo2012/20120313_FR_AG_063.wav,/home/nidia/DILA/pict-glotales/assets/audio/20120505FR063_sombra.wav
cotorra,satʼas,2017_04_04_FR_AG_038,,,nivacle,AG,Word,2023-08,DILA inv,Gu2017,Gutiérrez_2017,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166497",Félix Ramírez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2017/20170404FR/20170404FR_AG_038.wav,/home/nidia/DILA/pict-glotales/assets/audio/20170404FR038_cotorra.wav
nosotros,ʃtanʦʼoʦiɬa niʔanʦʼoʦiɬeʔeɬ,2012_05_03_FR_AG_092,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,Gutiérrez_2012,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166474",Félix Ramírez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2012/FR13marzo2012/20120313_FR_AG_092.wav,/home/nidia/DILA/pict-glotales/assets/audio/20120503FR092_nosotros.wav
loro,ʧʼeʧʼe,2012_03_23_TS_AG_068,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,Gutiérrez_2012,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166490",Teresita Sánchez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2012/20120417/TS17abril2012/20120417_TS_AG_068.wav,/home/nidia/DILA/pict-glotales/assets/audio/20120323TS068_loro.wav
luna,xiβeʔk͡la,2012_05_03_GR_AG_105,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,Gutiérrez_2012,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166467",Graciano Ramírez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2012/GR04mayo2012/20120504_GR_AG_105.wav,/home/nidia/DILA/pict-glotales/assets/audio/20120503GR105_luna.wav
aire,βatajaɬ,2012_05_14_FR_AG_169,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,Gutiérrez_2012,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166465",Félix Ramírez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2012/FR19marzo2012/20120319_FR_AG_169.wav,/home/nidia/DILA/pict-glotales/assets/audio/20120514FR169_aire.wav
sol,,2010_08_24_FR_AG_210,,,nivacle,AG,Word,2023-08,DILA inv,Gu2010,Gutiérrez_2010,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166461",Félix Ramírez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2010/2010_08_17FRphonology-renamed/2010_08_17_FR_AG_210.wav,/home/nidia/DILA/pict-glotales/assets/audio/20100824FR210_sol.wav
mi pie,,2011_07_18_JR_AG_010,,,nivacle,AG,Word,2023-08,DILA inv,Gu2011,Gutiérrez_2011,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166501",José Rojas,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2011/JR18Julio2011/2011_07_18_JR_AG_010.wav,/home/nidia/DILA/pict-glotales/assets/audio/20110718JR010_mi_pie.wav
paloma,,2011_07_18_JR_AG_012,,,nivacle,AG,Word,2023-08,DILA inv,Gu2011,Gutiérrez_2011,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166477",José Rojas,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2011/JR18Julio2011/2011_07_18_JR_AG_012.wav,/home/nidia/DILA/pict-glotales/assets/audio/20110718JR012_paloma.wav
algarrobo,,2011_07_18_JR_AG_072,,,nivacle,AG,Word,2023-08,DILA inv,Gu2011,Gutiérrez_2011,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166476",José Rojas,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2011/JR18Julio2011/2011_07_18_JR_AG_072.wav,/home/nidia/DILA/pict-glotales/assets/audio/20110718JR072_algarrobo.wav
gusano,,2011_07_18_JR_AG_107,,,nivacle,AG,Word,2023-08,DILA inv,Gu2011,Gutiérrez_2011,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166491",José Rojas,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2011/JR18Julio2011/2011_07_18_JR_AG_107.wav,/home/nidia/DILA/pict-glotales/assets/audio/20110718JR107_gusano.wav
tarde,,2012_03_16_TS_AG_014,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,Gutiérrez_2012,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166485",Teresita Sánchez,DILA/Nivacle/Audios-TCFiladelfia/TCFiladelfiaAudios2012/20120417/TS17abril2012/20120417_TS_AG_014.wav,/home/nidia/DILA/pict-glotales/assets/audio/20120316TS014_tarde.wav
mi hija,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166445",,,
rata,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166446",,,
mi cara,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166447",,,
mi codo,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166448",,,
mi cuello,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166449",,,
mi diente,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166450",,,
hombre,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166451",,,
niño,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166453",,,
mi ojo,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166454",,,
brazalete,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166457",,,
hacha,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166458",,,
mi zapato,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166460",,,
mi hermana menor,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166462",,,
mi hermano menor,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166463",,,
mi nieta,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166464",,,
cielo,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166466",,,
monte,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166468",,,
quirquincho,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166469",,,
mi tía,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166470",,,
yo,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166471",,,
él ,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166473",,,
espina de árbol,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166479",,,
mi pecho,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166480",,,
mi pelo,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166481",,,
mi talón,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166482",,,
red,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166483",,,
camino,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166486",,,
mi piel,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166487",,,
carne,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166488",,,
mi sangre,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166489",,,
yo escucho,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166493",,,
cuero,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166496",,,
nube,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166498",,,
mi costilla,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166499",,,
mi corazon,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166500",,,
mosquito,,,,,nivacle,AG,Word,2023-08,DILA inv,Gu2012,,"Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver: University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166502",,,
